season,estaca,nido_id,ambiente,huevo,pichon,fecha_puesta,fecha_walkout
s12-13,500,2,,2,2,27/10/2012,20/12/2012
s12-13,500,3,,2,2,27/10/2012,20/12/2012
s12-13,500,4,,2,2,27/10/2012,20/12/2012
s12-13,500,5,,2,2,27/10/2012,20/12/2012
s12-13,500,6,,2,2,27/10/2012,20/12/2012
s12-13,500,7,,2,0,27/10/2012,20/12/2012
s12-13,500,8,,2,2,27/10/2012,20/12/2012
s12-13,500,9,,2,2,27/10/2012,20/12/2012
s12-13,500,10,,2,2,27/10/2012,20/12/2012
s12-13,500,11,,2,1,27/10/2012,20/12/2012
s12-13,500,12,,2,1,27/10/2012,20/12/2012
s12-13,500,13,,2,2,27/10/2012,20/12/2012
s12-13,500,14,,2,2,27/10/2012,20/12/2012
s12-13,500,15,,2,2,27/10/2012,20/12/2012
s12-13,500,16,,2,0,27/10/2012,20/12/2012
s12-13,500,17,,2,2,27/10/2012,20/12/2012
s12-13,500,18,,2,2,27/10/2012,20/12/2012
s12-13,500,19,,2,1,27/10/2012,20/12/2012
s12-13,500,20,,2,0,27/10/2012,20/12/2012
s12-13,600,1,,2,2,27/10/2012,20/12/2012
s12-13,600,2,,2,0,27/10/2012,20/12/2012
s12-13,600,3,,2,0,27/10/2012,20/12/2012
s12-13,600,4,,2,0,27/10/2012,20/12/2012
s12-13,600,5,,2,0,27/10/2012,20/12/2012
s12-13,600,6,,2,2,27/10/2012,20/12/2012
s12-13,600,7,,2,2,27/10/2012,20/12/2012
s12-13,600,8,,2,1,27/10/2012,20/12/2012
s12-13,600,9,,2,2,27/10/2012,20/12/2012
s12-13,600,10,,2,2,27/10/2012,20/12/2012
s12-13,600,11,,2,2,27/10/2012,20/12/2012
s12-13,600,12,,2,1,27/10/2012,20/12/2012
s12-13,600,13,,2,2,27/10/2012,20/12/2012
s12-13,600,14,,2,2,27/10/2012,20/12/2012
s12-13,600,15,,2,2,27/10/2012,20/12/2012
s12-13,600,16,,2,1,27/10/2012,20/12/2012
s12-13,600,17,,2,0,27/10/2012,20/12/2012
s12-13,600,18,,2,2,27/10/2012,20/12/2012
s12-13,600,19,,2,2,27/10/2012,20/12/2012
s12-13,600,20,,2,0,27/10/2012,20/12/2012
s13-14,200,1,,2,1,22/10/2013,30/12/2013
s13-14,200,2,,2,1,22/10/2013,30/12/2013
s13-14,200,3,,2,0,22/10/2013,30/12/2013
s13-14,200,4,,2,2,22/10/2013,30/12/2013
s13-14,200,6,,2,0,22/10/2013,30/12/2013
s13-14,200,7,,2,2,22/10/2013,30/12/2013
s13-14,200,8,,1,0,22/10/2013,30/12/2013
s13-14,200,9,,2,2,22/10/2013,30/12/2013
s13-14,200,10,,2,2,22/10/2013,30/12/2013
s13-14,200,11,,2,2,22/10/2013,30/12/2013
s13-14,200,12,,2,2,22/10/2013,30/12/2013
s13-14,200,13,,2,0,22/10/2013,30/12/2013
s13-14,200,14,,2,1,22/10/2013,30/12/2013
s13-14,200,15,,2,1,22/10/2013,30/12/2013
s13-14,200,16,,2,1,22/10/2013,30/12/2013
s13-14,200,17,,2,2,22/10/2013,30/12/2013
s13-14,200,18,,2,0,22/10/2013,30/12/2013
s13-14,200,19,,2,1,22/10/2013,30/12/2013
s13-14,200,20,,2,0,22/10/2013,30/12/2013
s13-14,300,1,,2,0,22/10/2013,30/12/2013
s13-14,300,2,,2,0,22/10/2013,30/12/2013
s13-14,300,3,,2,0,22/10/2013,30/12/2013
s13-14,300,4,,2,2,22/10/2013,30/12/2013
s13-14,300,5,,2,2,22/10/2013,30/12/2013
s13-14,300,6,,2,0,22/10/2013,30/12/2013
s13-14,300,7,,2,2,22/10/2013,30/12/2013
s13-14,300,8,,2,0,22/10/2013,30/12/2013
s13-14,300,10,,2,0,22/10/2013,30/12/2013
s13-14,300,11,,2,2,22/10/2013,30/12/2013
s13-14,300,12,,1,0,22/10/2013,30/12/2013
s13-14,300,13,,2,1,22/10/2013,30/12/2013
s13-14,300,14,,1,1,22/10/2013,30/12/2013
s13-14,300,15,,2,2,22/10/2013,30/12/2013
s13-14,300,16,,1,0,22/10/2013,30/12/2013
s13-14,300,17,,2,1,22/10/2013,30/12/2013
s13-14,300,18,,2,0,22/10/2013,30/12/2013
s13-14,300,19,,2,0,22/10/2013,30/12/2013
s13-14,300,20,,1,0,22/10/2013,30/12/2013
s13-14,400,1,,2,1,22/10/2013,30/12/2013
s13-14,400,2,,2,0,22/10/2013,30/12/2013
s13-14,400,4,,2,2,22/10/2013,30/12/2013
s13-14,400,5,,2,2,22/10/2013,30/12/2013
s13-14,400,7,,2,1,22/10/2013,30/12/2013
s13-14,400,8,,2,1,22/10/2013,30/12/2013
s13-14,400,9,,2,2,22/10/2013,30/12/2013
s13-14,400,11,,2,0,22/10/2013,30/12/2013
s13-14,400,12,,2,2,22/10/2013,30/12/2013
s13-14,400,13,,2,1,22/10/2013,30/12/2013
s13-14,400,14,,2,1,22/10/2013,30/12/2013
s13-14,400,15,,1,0,22/10/2013,30/12/2013
s13-14,400,16,,2,0,22/10/2013,30/12/2013
s13-14,400,17,,1,0,22/10/2013,30/12/2013
s13-14,400,18,,2,1,22/10/2013,30/12/2013
s13-14,400,19,,1,0,22/10/2013,30/12/2013
s13-14,400,20,,2,0,22/10/2013,30/12/2013
s13-14,500,1,,2,2,22/10/2013,24/12/2013
s13-14,500,2,,2,0,22/10/2013,24/12/2013
s13-14,500,3,,2,0,22/10/2013,24/12/2013
s13-14,500,4,,1,1,22/10/2013,24/12/2013
s13-14,500,5,,2,0,22/10/2013,24/12/2013
s13-14,500,6,,2,2,22/10/2013,24/12/2013
s13-14,500,7,,2,0,22/10/2013,24/12/2013
s13-14,500,8,,2,1,22/10/2013,24/12/2013
s13-14,500,9,,2,2,22/10/2013,24/12/2013
s13-14,500,11,,2,2,22/10/2013,24/12/2013
s13-14,500,13,,2,0,22/10/2013,24/12/2013
s13-14,500,14,,2,0,22/10/2013,24/12/2013
s13-14,500,15,,2,2,22/10/2013,24/12/2013
s13-14,500,16,,2,0,22/10/2013,24/12/2013
s13-14,500,17,,2,0,22/10/2013,24/12/2013
s13-14,500,18,,2,0,22/10/2013,24/12/2013
s13-14,500,19,,2,2,22/10/2013,24/12/2013
s13-14,500,20,,1,1,22/10/2013,30/12/2013
s13-14,600,1,,2,0,22/10/2013,30/12/2013
s13-14,600,2,,2,1,22/10/2013,30/12/2013
s13-14,600,3,,2,0,22/10/2013,30/12/2013
s13-14,600,4,,2,1,22/10/2013,30/12/2013
s13-14,600,5,,2,2,22/10/2013,30/12/2013
s13-14,600,6,,2,1,22/10/2013,30/12/2013
s13-14,600,7,,2,1,22/10/2013,30/12/2013
s13-14,600,8,,2,1,22/10/2013,30/12/2013
s13-14,600,9,,2,2,22/10/2013,30/12/2013
s13-14,600,10,,2,2,22/10/2013,30/12/2013
s13-14,600,11,,2,0,22/10/2013,30/12/2013
s13-14,600,12,,2,0,22/10/2013,30/12/2013
s13-14,600,13,,2,2,22/10/2013,30/12/2013
s13-14,600,14,,2,2,22/10/2013,30/12/2013
s13-14,600,16,,2,1,22/10/2013,30/12/2013
s13-14,600,17,,2,0,22/10/2013,30/12/2013
s13-14,600,18,,2,1,22/10/2013,30/12/2013
s13-14,600,19,,2,0,22/10/2013,30/12/2013
s13-14,600,20,,2,0,22/10/2013,30/12/2013
s14-15,200,1,,2,2,25/10/2014,25/12/2014
s14-15,200,2,,2,2,25/10/2014,25/12/2014
s14-15,200,3,,2,2,25/10/2014,25/12/2014
s14-15,200,4,,2,0,25/10/2014,25/12/2014
s14-15,200,5,,2,1,25/10/2014,25/12/2014
s14-15,200,6,,2,0,25/10/2014,25/12/2014
