"","season","estaca","nido_id","ambiente","huevo","pichon","fecha_puesta","fecha_walkout","ER","colname3","SST","Chla","SSTA","SAM"
"137","s11-12",400,17,NA,2,2,2011-10-29,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"138","s11-12",400,19,NA,2,1,2011-10-29,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"139","s11-12",500,1,NA,2,2,2011-10-23,2011-12-26,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"140","s11-12",500,2,NA,2,2,2011-10-23,2011-12-26,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"141","s11-12",500,3,NA,2,2,2011-10-23,2011-12-26,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"142","s11-12",500,4,NA,2,0,2011-10-23,2011-12-26,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"143","s11-12",500,5,NA,2,2,2011-10-23,2011-12-26,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"144","s11-12",500,6,NA,2,2,2011-10-23,2011-12-26,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"145","s11-12",500,7,NA,2,2,2011-10-23,2011-12-26,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"146","s11-12",500,8,NA,2,2,2011-10-23,2011-12-26,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"147","s11-12",500,9,NA,2,1,2011-10-23,2011-12-26,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"148","s11-12",500,10,NA,2,2,2011-10-23,2011-12-26,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"149","s11-12",500,11,NA,2,0,2011-10-23,2011-12-26,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"150","s11-12",500,12,NA,2,2,2011-10-23,2011-12-26,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"151","s11-12",500,13,NA,2,2,2011-10-23,2011-12-26,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"152","s11-12",500,14,NA,2,2,2011-10-23,2011-12-26,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"153","s11-12",500,15,NA,2,0,2011-10-23,2011-12-26,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"154","s11-12",500,16,NA,2,2,2011-10-23,2011-12-26,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"155","s11-12",500,17,NA,2,2,2011-10-23,2011-12-26,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"156","s11-12",500,18,NA,2,2,2011-10-23,2011-12-26,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"157","s11-12",500,19,NA,2,1,2011-10-23,2011-12-26,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"158","s11-12",500,20,NA,2,2,2011-10-23,2011-12-26,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"159","s11-12",600,1,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"160","s11-12",600,2,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"161","s11-12",600,3,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"162","s11-12",600,4,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"163","s11-12",600,5,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"164","s11-12",600,6,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"165","s11-12",600,7,NA,1,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"166","s11-12",600,8,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"167","s11-12",600,9,NA,2,1,2011-10-23,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"168","s11-12",600,10,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
