arroyo;fecha;hora;am_pm;pabs;temp;manejo
16;30/1/2018;07:26:17;AM;734,82;6,978;sin
16;30/1/2018;08:26:17;AM;735,31;7,079;sin
16;30/1/2018;09:26:17;AM;735,25;7,179;sin
16;30/1/2018;10:26:17;AM;735,11;7,28;sin
16;30/1/2018;11:26:17;AM;735,47;7,481;sin
16;30/1/2018;12:26:17;PM;735,3;7,782;sin
16;30/1/2018;01:26:17;PM;735,52;8,481;sin
16;30/1/2018;02:26:17;PM;735,53;8,879;sin
16;30/1/2018;03:26:17;PM;735,92;8,581;sin
16;30/1/2018;04:26:17;PM;736,49;8,68;sin
16;30/1/2018;05:26:17;PM;736,73;8,382;sin
16;30/1/2018;06:26:17;PM;736,96;7,983;sin
16;30/1/2018;07:26:17;PM;737,59;7,682;sin
16;30/1/2018;08:26:17;PM;737,91;7,381;sin
16;30/1/2018;09:26:17;PM;738,48;7,179;sin
16;30/1/2018;10:26:17;PM;738,59;6,978;sin
16;30/1/2018;11:26:17;PM;738,77;6,674;sin
16;31/1/2018;12:26:17;AM;738,86;6,37;sin
16;31/1/2018;01:26:17;AM;738,91;6,268;sin
16;31/1/2018;02:26:17;AM;738,71;6,064;sin
16;31/1/2018;03:26:17;AM;738,41;6,064;sin
16;31/1/2018;04:26:17;AM;738,71;6,064;sin
16;31/1/2018;05:26:17;AM;738,89;6,166;sin
16;31/1/2018;06:26:17;AM;739,35;6,166;sin
16;31/1/2018;07:26:17;AM;739,64;6,064;sin
16;31/1/2018;08:26:17;AM;740,04;6,166;sin
16;31/1/2018;09:26:17;AM;740,53;6,268;sin
16;31/1/2018;10:26:17;AM;740,44;6,573;sin
16;31/1/2018;11:26:17;AM;740,56;6,775;sin
16;31/1/2018;12:26:17;PM;740,14;6,978;sin
16;31/1/2018;01:26:17;PM;740,08;7,079;sin
16;31/1/2018;02:26:17;PM;739,1;7,179;sin
16;31/1/2018;03:26:17;PM;738,62;7,481;sin
16;31/1/2018;04:26:17;PM;738,78;7,481;sin
16;31/1/2018;05:26:17;PM;738,32;7,481;sin
16;31/1/2018;06:26:17;PM;737,93;7,481;sin
16;31/1/2018;07:26:17;PM;737,45;7,381;sin
16;31/1/2018;08:26:17;PM;736,83;7,381;sin
16;31/1/2018;09:26:17;PM;735,96;7,28;sin
16;31/1/2018;10:26:17;PM;735,48;7,179;sin
16;31/1/2018;11:26:17;PM;735;7,079;sin
16;1/2/2018;12:26:17;AM;734,59;6,978;sin
16;1/2/2018;01:26:17;AM;734,27;6,877;sin
16;1/2/2018;02:26:17;AM;734,27;6,877;sin
16;1/2/2018;03:26:17;AM;734,27;6,877;sin
16;1/2/2018;04:26:17;AM;734,7;6,775;sin
16;1/2/2018;05:26:17;AM;734,91;6,674;sin
16;1/2/2018;06:26:17;AM;735,82;6,573;sin
16;1/2/2018;07:26:17;AM;736,49;6,471;sin
16;1/2/2018;08:26:17;AM;736,64;6,471;sin
16;1/2/2018;09:26:17;AM;737,12;6,573;sin
16;1/2/2018;10:26:17;AM;737,09;6,775;sin
16;1/2/2018;11:26:17;AM;737,2;7,28;sin
16;1/2/2018;12:26:17;PM;737,22;7,782;sin
16;1/2/2018;01:26:17;PM;737,35;8,382;sin
16;1/2/2018;02:26:17;PM;737,59;8,779;sin
16;1/2/2018;03:26:17;PM;737,6;8,879;sin
16;1/2/2018;04:26:17;PM;737,69;9,275;sin
16;1/2/2018;05:26:17;PM;738;9,275;sin
16;1/2/2018;06:26:17;PM;738,13;9,176;sin
16;1/2/2018;07:26:17;PM;738,26;9,077;sin
16;1/2/2018;08:26:17;PM;738,09;8,978;sin
16;1/2/2018;09:26:17;PM;738,07;8,879;sin
16;1/2/2018;10:26:17;PM;737,97;8,779;sin
16;1/2/2018;11:26:17;PM;737,57;8,68;sin
16;2/2/2018;12:26:17;AM;736,95;8,68;sin
16;2/2/2018;01:26:17;AM;735,97;8,779;sin
16;2/2/2018;02:26:17;AM;735,45;8,879;sin
16;2/2/2018;03:26:17;AM;735,38;8,879;sin
16;2/2/2018;04:26:17;AM;736,22;8,879;sin
16;2/2/2018;05:26:17;AM;736,3;8,879;sin
16;2/2/2018;06:26:17;AM;736,68;8,879;sin
16;2/2/2018;07:26:17;AM;737,45;8,879;sin
16;2/2/2018;08:26:17;AM;737,63;8,978;sin
16;2/2/2018;09:26:17;AM;737,96;9,077;sin
16;2/2/2018;10:26:17;AM;738,65;9,077;sin
16;2/2/2018;11:26:17;AM;738,67;9,176;sin
16;2/2/2018;12:26:17;PM;739;9,275;sin
16;2/2/2018;01:26:17;PM;739,25;9,373;sin
16;2/2/2018;02:26:17;PM;739,28;9,472;sin
16;2/2/2018;03:26:17;PM;739,22;9,571;sin
16;2/2/2018;04:26:17;PM;739,07;9,965;sin
16;2/2/2018;05:26:17;PM;739,22;9,965;sin
16;2/2/2018;06:26:17;PM;739,22;9,965;sin
16;2/2/2018;07:26:17;PM;739,41;9,768;sin
16;2/2/2018;08:26:17;PM;739,76;9,571;sin
16;2/2/2018;09:26:17;PM;739,79;9,373;sin
16;2/2/2018;10:26:17;PM;739,91;9,176;sin
16;2/2/2018;11:26:17;PM;739,86;8,978;sin
16;3/2/2018;12:26:17;AM;740,36;8,779;sin
16;3/2/2018;01:26:17;AM;740,18;8,68;sin
16;3/2/2018;02:26:17;AM;740,16;8,581;sin
16;3/2/2018;03:26:17;AM;739,99;8,481;sin
16;3/2/2018;04:26:17;AM;739,97;8,382;sin
